date,PHG stock,isPartial
2014-11-01,100,False
2014-11-02,0,False
2014-11-03,0,False
2014-11-04,0,False
2014-11-05,0,False
2014-11-06,0,False
2014-11-07,0,False
2014-11-08,97,False
2014-11-09,0,False
2014-11-10,82,False
2014-11-11,0,False
2014-11-12,0,False
2014-11-13,0,False
2014-11-14,85,False
2014-11-15,0,False
2014-11-16,0,False
2014-11-17,0,False
2014-11-18,89,False
2014-11-19,0,False
2014-11-20,0,False
2014-11-21,0,False
2014-11-22,0,False
2014-11-23,0,False
2014-11-24,0,False
2014-11-25,81,False
2014-11-26,81,False
2014-11-27,0,False
2014-11-28,0,False
2014-11-29,0,False
2014-11-30,0,False
