date,GRMN stock,isPartial
2015-01-01,0,False
2015-01-02,0,False
2015-01-03,0,False
2015-01-04,0,False
2015-01-05,0,False
2015-01-06,0,False
2015-01-07,0,False
2015-01-08,0,False
2015-01-09,0,False
2015-01-10,0,False
2015-01-11,98,False
2015-01-12,0,False
2015-01-13,0,False
2015-01-14,0,False
2015-01-15,0,False
2015-01-16,86,False
2015-01-17,100,False
2015-01-18,0,False
2015-01-19,0,False
2015-01-20,0,False
2015-01-21,0,False
2015-01-22,0,False
2015-01-23,0,False
2015-01-24,0,False
2015-01-25,0,False
2015-01-26,0,False
2015-01-27,0,False
2015-01-28,0,False
2015-01-29,0,False
2015-01-30,0,False
2015-01-31,0,False
