date,MRVL stock,isPartial
2014-11-01,0,False
2014-11-02,0,False
2014-11-03,0,False
2014-11-04,48,False
2014-11-05,0,False
2014-11-06,48,False
2014-11-07,0,False
2014-11-08,0,False
2014-11-09,0,False
2014-11-10,0,False
2014-11-11,0,False
2014-11-12,48,False
2014-11-13,64,False
2014-11-14,0,False
2014-11-15,0,False
2014-11-16,0,False
2014-11-17,0,False
2014-11-18,0,False
2014-11-19,49,False
2014-11-20,97,False
2014-11-21,100,False
2014-11-22,56,False
2014-11-23,0,False
2014-11-24,47,False
2014-11-25,0,False
2014-11-26,48,False
2014-11-27,50,False
2014-11-28,0,False
2014-11-29,0,False
2014-11-30,0,False
