date,TSLA stock,isPartial
2012-03-01,0,False
2012-03-02,0,False
2012-03-03,0,False
2012-03-04,0,False
2012-03-05,0,False
2012-03-06,99,False
2012-03-07,0,False
2012-03-08,0,False
2012-03-09,52,False
2012-03-10,60,False
2012-03-11,0,False
2012-03-12,99,False
2012-03-13,0,False
2012-03-14,0,False
2012-03-15,50,False
2012-03-16,0,False
2012-03-17,0,False
2012-03-18,0,False
2012-03-19,0,False
2012-03-20,0,False
2012-03-21,0,False
2012-03-22,51,False
2012-03-23,53,False
2012-03-24,61,False
2012-03-25,61,False
2012-03-26,50,False
2012-03-27,49,False
2012-03-28,50,False
2012-03-29,100,False
2012-03-30,0,False
2012-03-31,0,False
