date,GRMN stock,isPartial
2012-05-01,0,False
2012-05-02,0,False
2012-05-03,0,False
2012-05-04,100,False
2012-05-05,0,False
2012-05-06,0,False
2012-05-07,0,False
2012-05-08,94,False
2012-05-09,0,False
2012-05-10,97,False
2012-05-11,0,False
2012-05-12,0,False
2012-05-13,0,False
2012-05-14,0,False
2012-05-15,94,False
2012-05-16,0,False
2012-05-17,0,False
2012-05-18,0,False
2012-05-19,0,False
2012-05-20,0,False
2012-05-21,94,False
2012-05-22,0,False
2012-05-23,0,False
2012-05-24,96,False
2012-05-25,0,False
2012-05-26,0,False
2012-05-27,0,False
2012-05-28,0,False
2012-05-29,0,False
2012-05-30,0,False
2012-05-31,0,False
