,date,TWTR,isPartial
0,2012-01-01,0.0,False
1,2012-01-02,0.0,False
2,2012-01-03,0.0,False
3,2012-01-04,0.0,False
4,2012-01-05,0.0,False
5,2012-01-06,0.0,False
6,2012-01-07,0.0,False
7,2012-01-08,0.0,False
8,2012-01-09,0.0,False
9,2012-01-10,0.0,False
10,2012-01-11,0.0,False
11,2012-01-12,0.0,False
12,2012-01-13,0.0,False
13,2012-01-14,0.0,False
14,2012-01-15,0.0,False
15,2012-01-16,0.0,False
16,2012-01-17,0.0,False
17,2012-01-18,0.0,False
18,2012-01-19,0.0,False
19,2012-01-20,0.0,False
20,2012-01-21,0.0,False
21,2012-01-22,0.0,False
22,2012-01-23,0.0,False
23,2012-01-24,0.0,False
24,2012-01-25,0.0,False
25,2012-01-26,0.0,False
26,2012-01-27,0.0,False
27,2012-01-28,0.0,False
28,2012-01-29,0.0,False
29,2012-01-30,0.0,False
30,2012-01-31,0.0,False
0,2012-02-01,0.0,False
1,2012-02-02,0.0,False
2,2012-02-03,1.0,False
3,2012-02-04,0.38,False
4,2012-02-05,0.38,False
5,2012-02-06,0.65,False
6,2012-02-07,0.32,False
7,2012-02-08,0.64,False
8,2012-02-09,0.32,False
9,2012-02-10,0.0,False
10,2012-02-11,0.0,False
11,2012-02-12,0.37,False
12,2012-02-13,0.0,False
13,2012-02-14,0.32,False
14,2012-02-15,0.32,False
15,2012-02-16,0.64,False
16,2012-02-17,0.0,False
17,2012-02-18,0.0,False
18,2012-02-19,0.0,False
19,2012-02-20,0.0,False
20,2012-02-21,0.33,False
21,2012-02-22,0.0,False
22,2012-02-23,0.32,False
23,2012-02-24,0.0,False
24,2012-02-25,0.38,False
25,2012-02-26,0.0,False
26,2012-02-27,0.31,False
27,2012-02-28,0.0,False
28,2012-02-29,0.9400000000000001,False
0,2012-03-01,0.0,False
1,2012-03-02,0.71,False
2,2012-03-03,0.0,False
3,2012-03-04,0.4,False
4,2012-03-05,1.0,False
5,2012-03-06,0.32,False
6,2012-03-07,0.0,False
7,2012-03-08,0.0,False
8,2012-03-09,0.0,False
9,2012-03-10,0.39,False
10,2012-03-11,0.0,False
11,2012-03-12,0.0,False
12,2012-03-13,0.32,False
13,2012-03-14,0.32,False
14,2012-03-15,0.0,False
15,2012-03-16,0.0,False
16,2012-03-17,0.8,False
17,2012-03-18,0.0,False
18,2012-03-19,0.32,False
19,2012-03-20,0.32,False
20,2012-03-21,0.0,False
21,2012-03-22,0.33,False
22,2012-03-23,0.0,False
23,2012-03-24,0.8,False
24,2012-03-25,0.4,False
25,2012-03-26,0.97,False
26,2012-03-27,0.0,False
27,2012-03-28,0.33,False
28,2012-03-29,0.0,False
29,2012-03-30,0.6900000000000001,False
30,2012-03-31,0.78,False
0,2012-04-01,0.34,False
1,2012-04-02,0.29,False
2,2012-04-03,0.0,False
3,2012-04-04,0.29,False
4,2012-04-05,0.6,False
5,2012-04-06,1.0,False
6,2012-04-07,0.36,False
7,2012-04-08,0.0,False
8,2012-04-09,0.51,False
9,2012-04-10,0.88,False
10,2012-04-11,0.56,False
11,2012-04-12,0.28,False
12,2012-04-13,0.0,False
13,2012-04-14,0.68,False
14,2012-04-15,0.34,False
15,2012-04-16,0.28,False
16,2012-04-17,0.28,False
17,2012-04-18,0.0,False
18,2012-04-19,0.28,False
19,2012-04-20,0.29,False
20,2012-04-21,0.34,False
21,2012-04-22,0.33,False
22,2012-04-23,0.0,False
23,2012-04-24,0.55,False
24,2012-04-25,0.7000000000000001,False
25,2012-04-26,0.56,False
26,2012-04-27,0.45,False
27,2012-04-28,0.35000000000000003,False
28,2012-04-29,0.34,False
29,2012-04-30,0.29,False
0,2012-05-01,0.0,False
1,2012-05-02,0.47000000000000003,False
2,2012-05-03,0.0,False
3,2012-05-04,0.17,False
4,2012-05-05,0.19,False
5,2012-05-06,0.0,False
6,2012-05-07,0.0,False
7,2012-05-08,0.31,False
8,2012-05-09,0.0,False
9,2012-05-10,0.0,False
10,2012-05-11,0.17,False
11,2012-05-12,0.19,False
12,2012-05-13,0.19,False
13,2012-05-14,0.0,False
14,2012-05-15,0.0,False
15,2012-05-16,0.31,False
16,2012-05-17,0.0,False
17,2012-05-18,0.0,False
18,2012-05-19,1.0,False
19,2012-05-20,0.19,False
20,2012-05-21,0.0,False
21,2012-05-22,0.47000000000000003,False
22,2012-05-23,0.0,False
23,2012-05-24,0.32,False
24,2012-05-25,0.0,False
25,2012-05-26,0.0,False
26,2012-05-27,0.0,False
27,2012-05-28,0.0,False
28,2012-05-29,0.15,False
29,2012-05-30,0.31,False
30,2012-05-31,0.0,False
0,2012-06-01,0.58,False
1,2012-06-02,0.35000000000000003,False
2,2012-06-03,1.0,False
3,2012-06-04,0.41000000000000003,False
4,2012-06-05,0.28,False
5,2012-06-06,0.81,False
6,2012-06-07,0.28,False
